ID,Title,Abstract,Year,Database,LLM_Status,Sample_Size,Reports_Gender,Reports_Age,Reports_Race,Race_Details,Reports_Skin_Color,Skin_Color_Details,Extraction_Notes
1,Usefulness of Muscle Synergy Analysis in Individuals With Knee Osteoarthritis During Gait,"Objective: To clarify whether there are any muscle synergy changes in individuals with knee osteoarthritis, and to determine whether muscle synergy analysis could be applied to other musculoskeletal diseases. Methods: Subjects in this study included 11 young controls (YC), 10 elderly controls (EC), and 10 knee osteoarthritis patients (KOA). Gait was assessed on a split-belt treadmill at 3 km/h. A non-negative matrix factorization (NNMF) was applied to the electromyogram data matrix to extract muscle synergies. To assess the similarity of each module, we performed the NNMF analysis assuming four modules for all of the participants. Further, we calculated joint angles to compare the kinematic data between the module groups. Results: The number of muscle modules was significantly lower in the EC (2-3) and KOA (2-3) groups than in the YC group (3-4), which reflects the merging of late swing and early stance modules. The EC and KOA groups also showed greater knee flexion angles in the early stance phase. Contrarily, by focusing on the module structure, we found that the merging of early and late stance modules is characteristic in KOA. Conclusion: The lower number of modules in the EC and KOA groups was due to the muscle co-contraction with increased knee flexion angle. Contrarily, the merging of early and late stance modules are modular structures specific to KOA and may be biomarkers for detecting KOA. Significance: Describing the changes in multiple muscle control associated with musculoskeletal degeneration can serve as a fundamental biomarker in joint disease.",2021,IEEE,Success,31.0,True,True,False,Not reported,False,Not reported,"Participant demographic data, including sample size, sex, and age, were extracted from Table I and the 'Subjects' section."
2,Non-Invasive Quantitative Muscle Fatigue Estimation Based on Correlation Between sEMG Signal and Muscle Mass,"Muscle fatigue is required to be assessed in real-time to maintain the best physical condition, especially for sports and rehabilitation areas. In recent years, numerous studies proposed muscle fatigue estimation methods with non-invasive surface electromyography (sEMG). However, the previous approaches were limited to discerning whether muscle fatigue occurs and were unable to quantify the fatigue level due to individual differences in muscle characteristics. In this study, we propose a novel method for quantitative muscle fatigue estimation that is applicable for various people without individual calibration. Because muscle mass is closely related to muscular endurance, it is utilized as a standard parameter in our assessment process. We introduce a new concept of muscle fatigue score (MFS), based on the cosine similarity between muscle mass and representative fatigue indicators. The MFS exhibits a high correlation coefficient (|R| = 0.7398) with key muscle characteristics compared to previous representative muscle fatigue indicators calculated from sEMG: mean frequency (|R| = 0.2848), median frequency (|R| = 0.1972), and low-frequency ratio (|R| = 0.0346).",2020,IEEE,Success,16.0,True,True,False,Not reported,False,Not reported,"Demographic data on the 16 participants, including sample size, gender, and age, was located in the 'Participants' subsection and Table 1."
3,Next Generation Human Action Recognition: A Comprehensive Review of State-of-the-Art Signal Processing Techniques,"Human Action Recognition is a rapidly evolving field at the intersection of computational intelligence, signal processing, and machine learning, driving innovations in healthcare, fitness, surveillance, and smart environments. This review bridges the gap between classical techniques, such as Fourier Transform (FT), Wavelet Transform (WT), and Principal Component Analysis (PCA), and advanced Deep Learning (DL) approaches, including Convolutional Neural Network (CNN), Recurrent Neural Network (RNN) and emerging Transformer-based architectures. A key focus is the integration of multimodal sensing modalities, including accelerometers, gyroscopes, Electromyography (EMG), and electroencephalography (EEG), in conjunction with noncontact technologies such as thermal and infrared imaging, enhancing HAR adaptability in diverse environments. Unlike prior surveys, this work presents a comprehensive synthesis of HAR methodologies, systematically analyzing 217 studies to quantify trends, assess challenges such as noise resilience, real-time constraints, and scalability, and highlight innovative solutions, including advanced multimodal fusion frameworks and energy-efficient architectures. Furthermore, a research roadmap is proposed to advance scalable, real-time HAR systems with deeper multimodal data integration and lightweight computational models, paving the way for robust and adaptable solutions in real-world applications.",2025,IEEE,Success,,False,False,False,Not reported,False,Not reported,This paper is a comprehensive literature review of 217 other studies and does not report on a specific cohort of human participants for an original experiment.
4,sEMG-Based Gesture Recognition Using Temporal History,"Surface electromyography (sEMG) patterns have been decoded using learning-based methods that determine complicated nonlinear decision boundaries. However, overlapping classes in sEMG pattern recognition still degrade the classification accuracy because they cannot be separated by the decision boundaries. We hypothesized that certain overlapping classes can be separated while tracing the temporal history of sEMG patterns. Therefore, a novel post-processing method is proposed to adjust classification errors using the separated patterns from the temporal history of overlapping classes. The proposed method confirms the confidence of the prediction result by calculating the instantaneous pattern separability for the sequential sEMG input. The prediction result with high separability pattern is considered to have a high confidence of being correct (reliable). This result is stored for adjusting the next sEMG input. When the subsequent prediction is identified as having low confidence (unreliable), the predicted result is adjusted using the stored reliable predicted results. The proposed method adds an adjustment step to an existing classifier (maximum likelihood classifier (MLC), k-nearest neighbor (KNN), and support vector machine (SVM)), such that it can be attached to the back-end regardless of the type of classifier. Ten subjects performed 13 types of hand gestures, including overlapping patterns. The overall classification accuracy was enhanced to 88.93%(+8.12%p, MLC), 91.31%(+7.68%p, KNN), and 99.65%(+11.63%p, SVM) after the implementation of the proposed post-processing. Additionally, a faster and more accurate gesture classification was achieved with accuracy enhancement before gesture completion as 85.62%(+4.23%p, MLC), 89.77%(+4.23%p, KNN), and 97.62%(+11.12%p, SVM).",2023,IEEE,Success,10.0,True,False,False,Not reported,False,Not reported,"Participant count and gender (eight males, two females) were found in the 'EXPERIMENTAL SETUP' section."
5,Quantification of electromyographic activity during REM sleep in Chinese narcolepsy patients and healthy controls: a comparative study.,"STUDY OBJECTIVES: This study aimed to assess and quantify rapid eye movement (REM) sleep electromyographic (EMG) activity in narcolepsy patients. METHODS: The study involved 95 participants, including 25 with narcolepsy type 1 (NT1), 36 with narcolepsy type 2 (NT2), and 34 healthy controls (HC). We visually analyzed phasic, tonic, and ""any"" muscle activity for the submentalis (SM) and phasic for the anterior tibialis (AT) by both 3-s REM mini-epochs (3sRME) and 30-s REM epochs (30sRE) methods. Group metrics of EMG activity indices in 3sRME and positive REM sleep without atonia (RWA) indices in 30sRE (AASM rules) were analyzed. Receiver operating characteristic (ROC) curves determined the best cutoff thresholds for narcolepsy. RESULTS: All median SM and AT EMG activity indices in 3sRME were significantly higher in NT1 and NT2 compared to HC (P < 0.05). In the 30sRE method, positive RWA with phasic SM, total SM, and combined SM + AT indices were significantly higher only in NT1 versus HC in all analyses. The 3sRME phasic AT index had the highest area under the curve (AUC) of 0.884 (cutoff > 1.74%) for narcolepsy, 0.920 (cutoff > 2.03%) for NT1, and 0.859 (cutoff > 1.74%) for NT2. In the 30sRE method, the positive RWA with combined SM + AT index had the highest AUC of 0.691 (cutoff > 4.37%) for narcolepsy. CONCLUSIONS: The study demonstrated increased levels of REM sleep EMG activity in narcoleptic patients compared to HC, with more pronounced abnormalities in NT1 than NT2, suggesting its potential as an alternative biomarker for narcolepsy.",2025,PubMed,Success,95.0,True,True,True,All participants were from the Chinese Clinical Sleep Database and are referred to as 'Chinese narcolepsy patients and healthy controls'.,False,Not reported,"Demographic data including sample size, age, and gender were found in the Abstract, the 'Results' section, and detailed in Table 1."
6,Effect of expiratory muscle strength training on swallowing-related muscle strength in community-dwelling elderly individuals: a randomized controlled trial.,"OBJECTIVE: This study aimed to investigate the effect of expiratory muscle strength training (EMST) on swallowing-related muscle strength in community-dwelling elderly individuals. BACKGROUND: Expiratory muscle strength training is an intervention for patients with oropharyngeal dysphagia. This training is associated with respiration, coughing, speech and swallowing, and its effectiveness has been proven in previous studies. However, the effects of EMST on elderly individuals and evidence are still lacking. MATERIALS AND METHODS: This study included 24 community-dwelling senior citizens aged ≥65 years (12 men and 12 women). The experimental group trained at the 70% threshold value of the maximum expiratory pressure using an EMST device 5 days per week for 4 weeks and comprised five sets of five breaths through the device for 25 breaths per day. The placebo group trained with a resistance-free sham device. Post-intervention, muscle strength of the bilateral buccinator and the orbicularis oris muscles (OOM) was measured using the Iowa Oral Performance Instrument. Surface electromyography was used to measure activation of the suprahyoid muscles (SM). RESULTS: After intervention, the strength of the buccinator and the OOM in the experimental group showed statistically significant improvement. There was also statistically significant activation of the SM. In the placebo group, the strength of the orbicularis oris muscle alone improved. No statistically significant differences between groups were found for the strength of the buccinator and the OOM and the activation of the SM. CONCLUSION: EMST had a positive effect on swallowing-related muscle strength in elderly participants.",2017,PubMed,Success,24.0,True,True,False,Not reported,False,Not reported,Demographic information was found in the 'Participants' subsection of the 'Materials and methods' section and in Table 1.
7,Effects of Acute Carnosine and β-Alanine on Isometric Force and Jumping Performance.,"PURPOSE: To assess the effects of acute combined L-carnosine and β-alanine (Carn-BA) supplementation on isometric and dynamic tasks. METHODS: Twelve healthy participants performed knee-extensor maximal voluntary contractions (MVCs) and countermovement jumps (CMJs) before and after a fatiguing protocol (45-s continuous CMJs). Isometric and dynamic tests were performed 4 h after ingestion of Carn-BA (2 g of L-carnosine and 2 g of β-alanine) or placebo (PLA), in random order. After the fatiguing protocol, blood lactate concentration ([La-]), general and muscular rating of perceived exertion (RPE), and muscle pain (24 and 48 h after the end of the fatiguing protocol) were assessed. RESULTS: During the fatiguing protocol, significant decreases in jump height and increases in contact time were found in both groups from the 15th second onward to the end of the fatiguing protocol. Average contact time and jump height were respectively lower (-7%; P = .018) and higher (+6%; P = .025) in Carn-BA than in PLA. After the fatiguing protocol, MVC decreased in both PLA and Carn-BA, but it was higher in Carn-BA than in PLA (+15%, P = 0.012), while CMJ did not change. Moreover, general RPE was lower and muscle pain at 24 h was higher in Carn-BA than in PLA, whereas muscle RPE and [La-] did not differ between conditions. CONCLUSIONS: Ingesting Carn-BA before exercise induced positive effects on MVC and CMJ after the fatiguing protocol and improved CMJ performance during the 45-s continuous jumping effort, even when acutely supplemented. Furthermore, Carn-BA reduced the general RPE and increased muscle pain 24 h after the fatiguing task.",2016,PubMed,PDF_Not_Found,,,,,,,,
8,Age-related decline of motor unit firing rate in community-dwelling healthy older adults and daily ingestion of fish protein of Alaska pollack: a randomised trial.,"Neuromuscular properties decline with ageing and low-level physical activities. Alaska pollack protein (APP) is reportedly effective for improving skeletal muscular functions, even if the amount is small and exercise is not conducted. However, it is unclear whether APP intake without an exercise program affects neuromuscular dysfunction in community-dwelling adults conducting normal, everyday activities. This study aimed to investigate changes in motor unit firing properties by adding APP to daily meals in community-dwelling older adults. They were divided into an APP group or a placebo control (CON) group for randomised, double-blind treatment. Participants in APP (n = 15) and CON (n = 17) groups ingested 4.5 g/d APP and whey protein, respectively, added to daily meals for 3 months without a specific exercise intervention. High-density surface electromyography of the vastus lateralis to assess the individual motor unit firing rate during 70% of maximum voluntary ramp-up contraction (MVC), maximum knee extensor strength, muscle thickness, echo intensity, and a physical function test were evaluated at the baseline, as well as 1.5 and 3 months after the intervention. While muscle strength, muscle thickness, and motor function were not changed, the motor unit firing rate at 50%-70% of MVC showed a significant decline at 1.5 and 3 months in the CON group, but this decline was not observed in the APP group. These findings suggest that neuromuscular properties show a detectable decline on performing daily activities without a specific exercise intervention, but such a decline was not observed in the APP intake group.",2024,PubMed,Success,36.0,True,True,False,Not reported,False,Not reported,"Demographic information including sample size, age, and sex breakdown was found in the 'Participants' subsection of the 'Methods' section."
9,Towards an Understanding of the Utility of Dual-Modality Haptic Feedback in Teleoperated Medical Devices,"Humans normally integrate multiple haptic signals during dexterous manipulation with the natural limb. Operating telerobots such as surgical robots and upper-limb prostheses removes this multimodality feedback. While considerable research has focused on single-modality haptic feedback and discrete multimodality haptic feedback, little is known regarding the utility of continuous multimodality feedback. Here, we present an experimental framework designed to explore continuous multimodality haptic feedback for dexterous manipulation. Participants performed a grasp-and-hold task in a virtual environment with either direct or myoelectric control under different haptic feedback conditions: no feedback, vibrotactile feedback of object slip, squeeze feedback of grip force, and combined vibrotactile and squeeze feedback. Results from preliminary pilot studies highlight the gap in knowledge surrounding the potential utility of continuous multimodality feedback in differing telerobot control scenarios.",2020,IEEE,Success,7.0,True,False,False,Not reported,False,Not reported,"Participant numbers and gender were found in the 'Experimental Setup' subsection, describing two separate pilot studies (N=4 and N=3)."
10,A Neck Orthosis With Multi-Directional Variable Stiffness for Persons With Dropped Head Syndrome,"Dropped Head Syndrome (DHS) causes a passively correctable neck deformation. Currently, there is no wearable orthopedic neck brace to fulfill the needs of persons suffering from DHS. Related works have made progress in this area by creating mobile neck braces that provide head support to mitigate deformation while permitting neck mobility, which enhances user-perceived comfort and quality of life. Specifically, passive designs show great potential for fully functional devices in the short term due to their inherent simplicity and compactness, although achieving suitable support presents some challenges. This work introduces a novel compliant mechanism that provides non-restrictive adjustable support for the neck's anterior and posterior flexion movements while enabling its unconstrained free rotation. The results from the experiments on non-affected persons suggest that the device provides the proposed adjustable support that unloads the muscle groups involved in supporting the head without overloading the antagonist muscle groups. Simultaneously, it was verified that the free rotation is achieved regardless of the stiffness configuration of the device.",2024,IEEE,Success,8.0,True,True,False,Not reported,False,Not reported,Demographic data for the 8 volunteers was located in the 'C. Human Experiment' subsection within the 'EXPERIMENTS' section.
